layer,lsas_no_registers_mean,lsas_registers_4_mean,lsas_no_registers_std,lsas_registers_4_std,lsas_diff_mean,lsas_diff_ci95_low,lsas_diff_ci95_high,lsas_cohens_d,lsas_ci_excludes_0,lsas_wilcoxon_p,corr_pca_xai_no_registers_mean,corr_pca_xai_registers_4_mean,corr_pca_xai_no_registers_std,corr_pca_xai_registers_4_std,corr_pca_xai_diff_mean,corr_pca_xai_diff_ci95_low,corr_pca_xai_diff_ci95_high,corr_pca_xai_cohens_d,corr_pca_xai_ci_excludes_0,corr_pca_xai_wilcoxon_p,soft_iou_pca_xai_no_registers_mean,soft_iou_pca_xai_registers_4_mean,soft_iou_pca_xai_no_registers_std,soft_iou_pca_xai_registers_4_std,soft_iou_pca_xai_diff_mean,soft_iou_pca_xai_diff_ci95_low,soft_iou_pca_xai_diff_ci95_high,soft_iou_pca_xai_cohens_d,soft_iou_pca_xai_ci_excludes_0,soft_iou_pca_xai_wilcoxon_p,lsas_p_fdr,lsas_significant_fdr,corr_pca_xai_p_fdr,corr_pca_xai_significant_fdr,soft_iou_pca_xai_p_fdr,soft_iou_pca_xai_significant_fdr
blocks.1,0.3754955850131082,0.37697921652541844,0.17695794105733095,0.1899594658568019,0.001483631512310241,-0.013323725077430206,0.016283022666137185,0.006111707452078472,False,0.16524210231466985,0.34611579728111974,0.3040382374936598,0.29879901261932446,0.33743973212524125,-0.0420775597874599,-0.06722777832998472,-0.016821253803529543,-0.10279101758081312,True,0.02927784249292276,0.40487537274509666,0.44992019555717705,0.13857891678984396,0.11967621946484605,0.04504482281208038,0.034301476741023365,0.055658150247484446,0.26019846763407717,True,1.168515449717794e-15,0.18026411161600348,False,0.03513341099150731,True,2.8044370793227057e-15,True
blocks.2,0.36156532798180707,0.3543347866445256,0.18309016666384206,0.19490041480968506,-0.007230541337281466,-0.022052780394543517,0.007965236949106471,-0.029388890825826568,False,0.8809661286520948,0.3232344446821953,0.2725738119228627,0.320393451609944,0.3502346015041176,-0.050660632759332656,-0.07588923902802926,-0.02452561684953981,-0.11988918428185272,True,0.0045971920679199274,0.3998962112814188,0.43609576136618855,0.1363854397250969,0.11940582789420891,0.03619955008476972,0.0264123612459749,0.04615620702318847,0.22780666949918946,True,7.908432538226289e-12,0.8809661286520948,False,0.006129589423893237,True,1.5816865076452578e-11,True
blocks.3,0.35793172699568093,0.27570403273781996,0.1941863533633106,0.2009497411265699,-0.082227694257861,-0.09865736238124664,-0.06598011248512775,-0.30983728562445134,True,3.871964140091741e-19,0.32931233969295864,0.1374908043445321,0.34068671210807266,0.371074740392793,-0.19182153534842655,-0.22065518796509423,-0.16320319446068607,-0.4124479241970703,True,3.2285470101254294e-35,0.3865511142984033,0.4139172611311078,0.14187922804538863,0.11024494098220425,0.027366146832704545,0.016839251371752472,0.037848962031118566,0.16075491467964942,True,2.6587740466643885e-07,1.1615892420275224e-18,True,1.9371282060752576e-34,True,3.988161069996583e-07,True
blocks.4,0.27659216790783103,0.20853200824101806,0.16750034396838426,0.1968394680890404,-0.06806015966681297,-0.08170319972334691,-0.05458236215462521,-0.3136366437356685,True,1.615171818151314e-19,0.2555757245635032,0.09150470444763778,0.31935201554606496,0.37556787462301966,-0.16407102011586538,-0.18909549717195076,-0.1390806474334595,-0.4140571001056184,True,7.337170847631528e-36,0.29760861125215887,0.3255593120343983,0.11998845736007234,0.1056615698496148,0.02795070078223944,0.0191463174238801,0.03695259419064968,0.19350197124645793,True,4.249127170004799e-09,6.460687272605256e-19,True,8.804605017157834e-35,True,7.2842180057225125e-09,True
