mode,architecture,checkpoint_path,classifier_or_probe_accuracy,classifier_or_probe_correct,classifier_or_probe_total,knn_k,knn_accuracy,knn_correct,knn_total,bank_samples,query_samples,feature_dim,temperature,elapsed_minutes
lejepa,resnet18_imagenet,experiments/experiment-imagenet100-r18-lejepa/checkpoints/imagenet100_resnet18_lejepa_probe_best.pt,0.3174,1587,5000,1,0.2172,1086,5000,126325,5000,512,0.07,2.370647342999776
lejepa,resnet18_imagenet,experiments/experiment-imagenet100-r18-lejepa/checkpoints/imagenet100_resnet18_lejepa_probe_best.pt,0.3174,1587,5000,5,0.2544,1272,5000,126325,5000,512,0.07,2.370647342999776
lejepa,resnet18_imagenet,experiments/experiment-imagenet100-r18-lejepa/checkpoints/imagenet100_resnet18_lejepa_probe_best.pt,0.3174,1587,5000,10,0.277,1385,5000,126325,5000,512,0.07,2.370647342999776
lejepa,resnet18_imagenet,experiments/experiment-imagenet100-r18-lejepa/checkpoints/imagenet100_resnet18_lejepa_probe_best.pt,0.3174,1587,5000,20,0.2898,1449,5000,126325,5000,512,0.07,2.370647342999776
lejepa,resnet18_imagenet,experiments/experiment-imagenet100-r18-lejepa/checkpoints/imagenet100_resnet18_lejepa_probe_best.pt,0.3174,1587,5000,50,0.308,1540,5000,126325,5000,512,0.07,2.370647342999776
lejepa,resnet18_imagenet,experiments/experiment-imagenet100-r18-lejepa/checkpoints/imagenet100_resnet18_lejepa_probe_best.pt,0.3174,1587,5000,100,0.3058,1529,5000,126325,5000,512,0.07,2.370647342999776
