mode,architecture,checkpoint_path,classifier_or_probe_accuracy,classifier_or_probe_correct,classifier_or_probe_total,knn_k,knn_accuracy,knn_correct,knn_total,bank_samples,query_samples,feature_dim,temperature,elapsed_minutes
lejepa,resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-local-crops/checkpoints/resnet18_lejepa_probe_best.pt,0.613,6130,10000,1,0.4527,4527,10000,50000,10000,512,0.07,0.6173437674840291
lejepa,resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-local-crops/checkpoints/resnet18_lejepa_probe_best.pt,0.613,6130,10000,5,0.5233,5233,10000,50000,10000,512,0.07,0.6173437674840291
lejepa,resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-local-crops/checkpoints/resnet18_lejepa_probe_best.pt,0.613,6130,10000,10,0.5546,5546,10000,50000,10000,512,0.07,0.6173437674840291
lejepa,resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-local-crops/checkpoints/resnet18_lejepa_probe_best.pt,0.613,6130,10000,20,0.5755,5755,10000,50000,10000,512,0.07,0.6173437674840291
lejepa,resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-local-crops/checkpoints/resnet18_lejepa_probe_best.pt,0.613,6130,10000,50,0.5819,5819,10000,50000,10000,512,0.07,0.6173437674840291
lejepa,resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-local-crops/checkpoints/resnet18_lejepa_probe_best.pt,0.613,6130,10000,100,0.585,5850,10000,50000,10000,512,0.07,0.6173437674840291
