checkpoint_path,checkpoint_epoch,pretrain_loss,prediction_loss,sigreg_loss,knn_k,knn_accuracy,knn_correct,knn_total,bank_samples,query_samples,feature_dim,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_last.pt,400,0.006140154400574309,0.0013941260247624346,0.9492103794642858,20,0.5425,1085,2000,10000,2000,512,0.2740752696990967,0.14956530928611755,8.72251033782959,0.27346423268318176,0.14466683566570282,8.716978073120117
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_last.pt,400,0.006140154400574309,0.0013941260247624346,0.9492103794642858,50,0.5385,1077,2000,10000,2000,512,0.2740752696990967,0.14956530928611755,8.72251033782959,0.27346423268318176,0.14466683566570282,8.716978073120117
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_last.pt,400,0.006140154400574309,0.0013941260247624346,0.9492103794642858,100,0.5445,1089,2000,10000,2000,512,0.2740752696990967,0.14956530928611755,8.72251033782959,0.27346423268318176,0.14466683566570282,8.716978073120117
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_loss_best.pt,387,0.006127294623958213,0.0013973969779908658,0.9459877232142857,20,0.536,1072,2000,10000,2000,512,0.2725995182991028,0.1476907581090927,8.646326065063477,0.27202898263931274,0.14276330173015594,8.640644073486328
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_loss_best.pt,387,0.006127294623958213,0.0013973969779908658,0.9459877232142857,50,0.5435,1087,2000,10000,2000,512,0.2725995182991028,0.1476907581090927,8.646326065063477,0.27202898263931274,0.14276330173015594,8.640644073486328
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_loss_best.pt,387,0.006127294623958213,0.0013973969779908658,0.9459877232142857,100,0.544,1088,2000,10000,2000,512,0.2725995182991028,0.1476907581090927,8.646326065063477,0.27202898263931274,0.14276330173015594,8.640644073486328
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_020.pt,20,0.015540698915719986,0.0027191744332334825,2.564352678571429,20,0.448,896,2000,10000,2000,512,0.5726692080497742,0.36324381828308105,22.509313583374023,0.5746228098869324,0.3674934208393097,22.501537322998047
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_020.pt,20,0.015540698915719986,0.0027191744332334825,2.564352678571429,50,0.464,928,2000,10000,2000,512,0.5726692080497742,0.36324381828308105,22.509313583374023,0.5746228098869324,0.3674934208393097,22.501537322998047
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_020.pt,20,0.015540698915719986,0.0027191744332334825,2.564352678571429,100,0.465,930,2000,10000,2000,512,0.5726692080497742,0.36324381828308105,22.509313583374023,0.5746228098869324,0.3674934208393097,22.501537322998047
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_040.pt,40,0.01208377302225147,0.0024767958465963602,1.9214620535714286,20,0.4635,927,2000,10000,2000,512,0.4346325397491455,0.2789912521839142,17.599048614501953,0.4338347315788269,0.28203147649765015,17.577665328979492
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_040.pt,40,0.01208377302225147,0.0024767958465963602,1.9214620535714286,50,0.476,952,2000,10000,2000,512,0.4346325397491455,0.2789912521839142,17.599048614501953,0.4338347315788269,0.28203147649765015,17.577665328979492
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_040.pt,40,0.01208377302225147,0.0024767958465963602,1.9214620535714286,100,0.4745,949,2000,10000,2000,512,0.4346325397491455,0.2789912521839142,17.599048614501953,0.4338347315788269,0.28203147649765015,17.577665328979492
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_060.pt,60,0.010385709857302052,0.0023198267737669603,1.613203125,20,0.484,968,2000,10000,2000,512,0.36718663573265076,0.2110147923231125,14.113749504089355,0.3670213222503662,0.21311022341251373,14.122697830200195
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_060.pt,60,0.010385709857302052,0.0023198267737669603,1.613203125,50,0.485,970,2000,10000,2000,512,0.36718663573265076,0.2110147923231125,14.113749504089355,0.3670213222503662,0.21311022341251373,14.122697830200195
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_060.pt,60,0.010385709857302052,0.0023198267737669603,1.613203125,100,0.4745,949,2000,10000,2000,512,0.36718663573265076,0.2110147923231125,14.113749504089355,0.3670213222503662,0.21311022341251373,14.122697830200195
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_080.pt,80,0.009443167283066682,0.0021966811748487607,1.4493136160714286,20,0.4965,993,2000,10000,2000,512,0.3257770538330078,0.19495585560798645,12.00853157043457,0.32451778650283813,0.19460560381412506,11.985238075256348
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_080.pt,80,0.009443167283066682,0.0021966811748487607,1.4493136160714286,50,0.499,998,2000,10000,2000,512,0.3257770538330078,0.19495585560798645,12.00853157043457,0.32451778650283813,0.19460560381412506,11.985238075256348
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_080.pt,80,0.009443167283066682,0.0021966811748487607,1.4493136160714286,100,0.5045,1009,2000,10000,2000,512,0.3257770538330078,0.19495585560798645,12.00853157043457,0.32451778650283813,0.19460560381412506,11.985238075256348
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_100.pt,100,0.008688988972987447,0.0021260530188945788,1.312572544642857,20,0.4985,997,2000,10000,2000,512,0.3053193688392639,0.14046983420848846,10.912931442260742,0.3039209246635437,0.1415824145078659,10.884132385253906
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_100.pt,100,0.008688988972987447,0.0021260530188945788,1.312572544642857,50,0.5145,1029,2000,10000,2000,512,0.3053193688392639,0.14046983420848846,10.912931442260742,0.3039209246635437,0.1415824145078659,10.884132385253906
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_100.pt,100,0.008688988972987447,0.0021260530188945788,1.312572544642857,100,0.5095,1019,2000,10000,2000,512,0.3053193688392639,0.14046983420848846,10.912931442260742,0.3039209246635437,0.1415824145078659,10.884132385253906
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_120.pt,120,0.008154765287680285,0.002022192565325115,1.2264955357142857,20,0.5055,1011,2000,10000,2000,512,0.2895447909832001,0.13739387691020966,10.041303634643555,0.28886309266090393,0.1387801617383957,10.025633811950684
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_120.pt,120,0.008154765287680285,0.002022192565325115,1.2264955357142857,50,0.515,1030,2000,10000,2000,512,0.2895447909832001,0.13739387691020966,10.041303634643555,0.28886309266090393,0.1387801617383957,10.025633811950684
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_120.pt,120,0.008154765287680285,0.002022192565325115,1.2264955357142857,100,0.52,1040,2000,10000,2000,512,0.2895447909832001,0.13739387691020966,10.041303634643555,0.28886309266090393,0.1387801617383957,10.025633811950684
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_140.pt,140,0.00781534734581198,0.001946228529725756,1.1738113839285715,20,0.519,1038,2000,10000,2000,512,0.2785096764564514,0.14804047346115112,9.484128952026367,0.2775890529155731,0.1430293470621109,9.46965217590332
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_140.pt,140,0.00781534734581198,0.001946228529725756,1.1738113839285715,50,0.522,1044,2000,10000,2000,512,0.2785096764564514,0.14804047346115112,9.484128952026367,0.2775890529155731,0.1430293470621109,9.46965217590332
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_140.pt,140,0.00781534734581198,0.001946228529725756,1.1738113839285715,100,0.5215,1043,2000,10000,2000,512,0.2785096764564514,0.14804047346115112,9.484128952026367,0.2775890529155731,0.1430293470621109,9.46965217590332
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_160.pt,160,0.007438380162098578,0.0018496306885832123,1.1177566964285715,20,0.518,1036,2000,10000,2000,512,0.2712092697620392,0.13424596190452576,9.144919395446777,0.27070853114128113,0.12908361852169037,9.137449264526367
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_160.pt,160,0.007438380162098578,0.0018496306885832123,1.1177566964285715,50,0.521,1042,2000,10000,2000,512,0.2712092697620392,0.13424596190452576,9.144919395446777,0.27070853114128113,0.12908361852169037,9.137449264526367
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_160.pt,160,0.007438380162098578,0.0018496306885832123,1.1177566964285715,100,0.521,1042,2000,10000,2000,512,0.2712092697620392,0.13424596190452576,9.144919395446777,0.27070853114128113,0.12908361852169037,9.137449264526367
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_180.pt,180,0.007218777343098606,0.0017895040142216852,1.0858621651785714,20,0.533,1066,2000,10000,2000,512,0.26896944642066956,0.14197349548339844,8.868772506713867,0.26861608028411865,0.1366092711687088,8.869279861450195
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_180.pt,180,0.007218777343098606,0.0017895040142216852,1.0858621651785714,50,0.5305,1061,2000,10000,2000,512,0.26896944642066956,0.14197349548339844,8.868772506713867,0.26861608028411865,0.1366092711687088,8.869279861450195
experiments/experiment-c10-r18-lejepa-light-v3-sig-005/checkpoints/resnet18_lejepa_backbone_epoch_180.pt,180,0.007218777343098606,0.0017895040142216852,1.0858621651785714,100,0.531,1062,2000,10000,2000,512,0.26896944642066956,0.14197349548339844,8.868772506713867,0.26861608028411865,0.1366092711687088,8.869279861450195
