mode,architecture,checkpoint_path,classifier_or_probe_accuracy,classifier_or_probe_correct,classifier_or_probe_total,knn_k,knn_accuracy,knn_correct,knn_total,bank_samples,query_samples,feature_dim,temperature,elapsed_minutes
vit_lejepa,vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_probe_best.pt,0.3596,3596,10000,1,0.279,2790,10000,50000,10000,192,0.07,0.49736708799997964
vit_lejepa,vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_probe_best.pt,0.3596,3596,10000,5,0.3162,3162,10000,50000,10000,192,0.07,0.49736708799997964
vit_lejepa,vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_probe_best.pt,0.3596,3596,10000,10,0.339,3390,10000,50000,10000,192,0.07,0.49736708799997964
vit_lejepa,vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_probe_best.pt,0.3596,3596,10000,20,0.3542,3542,10000,50000,10000,192,0.07,0.49736708799997964
vit_lejepa,vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_probe_best.pt,0.3596,3596,10000,50,0.3661,3661,10000,50000,10000,192,0.07,0.49736708799997964
vit_lejepa,vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_probe_best.pt,0.3596,3596,10000,100,0.3661,3661,10000,50000,10000,192,0.07,0.49736708799997964
