checkpoint_path,checkpoint_epoch,pretrain_loss,prediction_loss,sigreg_loss,knn_k,knn_accuracy,knn_correct,knn_total,bank_samples,query_samples,feature_dim,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_last.pt,100,0.007953194430546123,0.0021504335612712415,1.1605313534768211,50,0.16489361702127658,124,752,20000,752,384,0.7305384278297424,0.5196940302848816,15.592965126037598,0.7601179480552673,0.5758734345436096,15.59215259552002
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_last.pt,100,0.007953194430546123,0.0021504335612712415,1.1605313534768211,100,0.16489361702127658,124,752,20000,752,384,0.7305384278297424,0.5196940302848816,15.592965126037598,0.7601179480552673,0.5758734345436096,15.59215259552002
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_loss_best.pt,96,0.00793685144220559,0.002155488239504627,1.1562801807395144,50,0.1622340425531915,122,752,20000,752,384,0.7304705381393433,0.5195256471633911,15.59354019165039,0.7601268291473389,0.5747340321540833,15.592719078063965
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_loss_best.pt,96,0.00793685144220559,0.002155488239504627,1.1562801807395144,100,0.16356382978723405,123,752,20000,752,384,0.7304705381393433,0.5195256471633911,15.59354019165039,0.7601268291473389,0.5747340321540833,15.592719078063965
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_epoch_010.pt,10,0.012427304464312184,0.0030799824790720713,1.869487703504415,50,0.12101063829787234,91,752,20000,752,384,0.8567939400672913,0.558089554309845,18.91238021850586,0.9017996191978455,0.6259369254112244,18.91166114807129
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_epoch_010.pt,10,0.012427304464312184,0.0030799824790720713,1.869487703504415,100,0.125,94,752,20000,752,384,0.8567939400672913,0.558089554309845,18.91238021850586,0.9017996191978455,0.6259369254112244,18.91166114807129
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_epoch_020.pt,20,0.010370586900077514,0.0028925508211385337,1.4956000793322295,50,0.14760638297872342,111,752,20000,752,384,0.8068116903305054,0.5460256338119507,18.10368537902832,0.8502278327941895,0.6213245987892151,18.101781845092773
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_epoch_020.pt,20,0.010370586900077514,0.0028925508211385337,1.4956000793322295,100,0.14361702127659576,108,752,20000,752,384,0.8068116903305054,0.5460256338119507,18.10368537902832,0.8502278327941895,0.6213245987892151,18.101781845092773
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_epoch_030.pt,30,0.009509177921672926,0.0027624016152756497,1.3493485271799117,50,0.15558510638297873,117,752,20000,752,384,0.7988560199737549,0.5590130686759949,17.38901138305664,0.8282537460327148,0.6108216643333435,17.387451171875
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_epoch_030.pt,30,0.009509177921672926,0.0027624016152756497,1.3493485271799117,100,0.15558510638297873,117,752,20000,752,384,0.7988560199737549,0.5590130686759949,17.38901138305664,0.8282537460327148,0.6108216643333435,17.387451171875
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_epoch_040.pt,40,0.00903833850757702,0.00259173592546375,1.289306101683223,50,0.14893617021276595,112,752,20000,752,384,0.7739322185516357,0.5365457534790039,16.789691925048828,0.8075010180473328,0.5923728346824646,16.7905216217041
experiments/experiment-imagenets50-vit-lejepa/checkpoints/imagenets50_vit_lejepa_backbone_epoch_040.pt,40,0.00903833850757702,0.00259173592546375,1.289306101683223,100,0.14893617021276595,112,752,20000,752,384,0.7739322185516357,0.5365457534790039,16.789691925048828,0.8075010180473328,0.5923728346824646,16.7905216217041
