sample_idx,mode,architecture,model_id,xai_method,layer,true_label,pred_label,target_label,has_classifier,corr_pca_xai,soft_iou_pca_xai,lsas
21,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.6858181357383728,0.5607270002365112,0.623272567987442
22,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8030248284339905,0.4659295380115509,0.6344771832227707
23,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.4233704209327698,0.46795856952667236,0.44566449522972107
24,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8054301738739014,0.4387871325016022,0.6221086531877518
25,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.6602623462677002,0.5054174065589905,0.5828398764133453
26,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8020692467689514,0.40574172139167786,0.6039054840803146
27,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8568741679191589,0.35721248388290405,0.6070433259010315
28,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.5379481315612793,0.4437590539455414,0.49085359275341034
29,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,-0.1390465348958969,0.13339842855930328,-0.002824053168296814
30,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.5496197938919067,0.3153354525566101,0.4324776232242584
